AULA,AFORO,CAPACIDAD EXÁMENES,EDIFICIO,EXAMENES 2º SEM,GESTIONA,OBSERVACIONES,Relacionado con EXAMENES 1º SEM 23/24 (AULA),Relacionado con EXAMENES 1º SEM 23/24 (AULA) 1,Relacionado con EXAMENES 1º SEM 23/24 (AULA) 2,Relacionado con EXAMENES 1º SEM 23/24 (AULA) 3,Relacionado con EXAMENES 2º SEM (1) (AULA),Related to EXAMENES 1º SEM 23/24 (AULA),Related to EXAMENES 1º SEM 23/24 (AULA) 1,UBICACIÓN,UD 360º
43 (Altuna),82,41,ALTUNA (AULARIO),"Derechos Reales (https://www.notion.so/Derechos-Reales-1e86e8e54ed34bc5b64e02c7cf06e72a?pvs=21), Potestad Sancionadora y Estado de Derecho (https://www.notion.so/Potestad-Sancionadora-y-Estado-de-Derecho-b99e348fee444f87a0bed7d0c9e6f4db?pvs=21), Derecho Jurisdiccional y Procedimie (https://www.notion.so/Derecho-Jurisdiccional-y-Procedimie-6fbfc98b8cf14118b1813dbcfb14b81a?pvs=21), Delitos y sus penas (https://www.notion.so/Delitos-y-sus-penas-bcb52c581d5d46de87a6e72e1e16b4e4?pvs=21), Derecho de sociedades (https://www.notion.so/Derecho-de-sociedades-1f647985b28f4892943969b4fe0c13de?pvs=21), Estructura de Computadores (https://www.notion.so/Estructura-de-Computadores-9a913af9ed134663984f16eb256e212b?pvs=21)",DBS,,,,,,"Derecho Jurisdiccional y Procedimientos Civiles Declarativos (https://www.notion.so/Derecho-Jurisdiccional-y-Procedimientos-Civiles-Declarativos-218ff3909ef44ddf81b7957db7860387?pvs=21), Derecho de sociedades (https://www.notion.so/Derecho-de-sociedades-3cfe02c735ba428290b71b31762bd129?pvs=21), Estructura de Computadores (https://www.notion.so/Estructura-de-Computadores-afc911eb5e814f26871a70994989fc75?pvs=21), Potestad Sancionadora y Estado de Derecho (https://www.notion.so/Potestad-Sancionadora-y-Estado-de-Derecho-c38492f616184a85b66d6acf1b5063e3?pvs=21), Delitos y sus penas (https://www.notion.so/Delitos-y-sus-penas-c5fbcb5c45fe45258a666adf39dae497?pvs=21), Derechos Reales (https://www.notion.so/Derechos-Reales-e9aa307528334b0da95988130850d562?pvs=21)",,,Planta 1,https://360ss.deusto.es/G18I8tTlmS/33802302p&43.37h&66.66t
009 (Arrupe),54,27,ARRUPE,,CCSSHH,,,,,,,,,Planta 0,
,49,25,ALTUNA (AULARIO),"Derecho de la Unión Europea (https://www.notion.so/Derecho-de-la-Uni-n-Europea-ee322942a74f4944b25cd010e9c20af9?pvs=21), Estructura de Computadores (https://www.notion.so/Estructura-de-Computadores-f2d4b0eb140f45d1bc0eac2746425867?pvs=21)",Ingeniería,,,,,,"Derecho de la Unión Europea (https://www.notion.so/Derecho-de-la-Uni-n-Europea-712471cf05d54d98af666cea7b52e2df?pvs=21), Estructura de Computadores (https://www.notion.so/Estructura-de-Computadores-fdc3f99c8f9843c581ac4cd4c28d09df?pvs=21)",,,Planta 2,https://360ss.deusto.es/G18I8tTlmS/33802307p&75.43h&79.9t
42 (Altuna),85,42,ALTUNA (AULARIO),"Derecho de la Unión Europea (https://www.notion.so/Derecho-de-la-Uni-n-Europea-1420a5e18df44de0b18c8f15c5924086?pvs=21), Derecho civil y autonómico vasco (https://www.notion.so/Derecho-civil-y-auton-mico-vasco-e25749a03489476bb2f4f06cad6af1ac?pvs=21), Derecho de sociedades (https://www.notion.so/Derecho-de-sociedades-4d804d8ece5c4ae9984a4c78e5ffc45f?pvs=21), Derecho del trabajo y de la Seguridad Social (https://www.notion.so/Derecho-del-trabajo-y-de-la-Seguridad-Social-46b972226b604b5ea012ad02630669f0?pvs=21), Potestad Sancionadora y Estado de Derecho (https://www.notion.so/Potestad-Sancionadora-y-Estado-de-Derecho-a0d71316e4574eb8930c0e39f72d55c8?pvs=21), Matemática Discreta (https://www.notion.so/Matem-tica-Discreta-cabd121b48bd410da56efe4aa1318818?pvs=21)",DBS,,,,,,"Potestad Sancionadora y Estado de Derecho (https://www.notion.so/Potestad-Sancionadora-y-Estado-de-Derecho-324d8858aa054f6d8d76a4f34928fe67?pvs=21), Derecho civil y autonómico vasco (https://www.notion.so/Derecho-civil-y-auton-mico-vasco-5a06e0d775de4d35b2fdb0bc55243923?pvs=21), Matemática Discreta (https://www.notion.so/Matem-tica-Discreta-5d90ad53521340189eada54a07099239?pvs=21), Derecho de sociedades (https://www.notion.so/Derecho-de-sociedades-7edc74e5ea2d45a6a04723752042338f?pvs=21), Derecho del trabajo y de la Seguridad Social (https://www.notion.so/Derecho-del-trabajo-y-de-la-Seguridad-Social-b70bf90045304f418623c01e577db538?pvs=21), Derecho de la Unión Europea (https://www.notion.so/Derecho-de-la-Uni-n-Europea-cc77783baf114b68a4951339f4ef12f9?pvs=21)",,,Planta 0,https://360ss.deusto.es/G18I8tTlmS/33801592p&87.88h&91.08t
113 (Arrupe),9,5,ARRUPE,,CCSSHH,,,,,,,,,Planta 1,
103 (Arrupe),76,38,ARRUPE,,CCSSHH,Adaptada Luz Estudiante 4ESTS eus,,,,,,,,Planta 1,
004 (Arrupe),82,41,ARRUPE,,CCSSHH,,,,,,,,,Planta 0,
111 (Arrupe),32,16,ARRUPE,,CCSSHH,,,,,,,,,Planta 1,
011 (Arrupe),42,21,ARRUPE,,CCSSHH,,,,,,,,,Planta 0,
105 (Arrupe),30,15,ARRUPE,,CCSSHH,,,,,,,,,Planta 1,
33 (Errandonea),70,32,ERRANDONEA,"Derecho patrimonial especial (https://www.notion.so/Derecho-patrimonial-especial-9becef0b365245a587c002078a2cb12c?pvs=21), Las Administraciones Públicas y su Actividad (https://www.notion.so/Las-Administraciones-P-blicas-y-su-Actividad-c4c1bd96ba424c4684356576e58f1c3d?pvs=21)",DBS,,,,,,"Las Administraciones Públicas y su Actividad (https://www.notion.so/Las-Administraciones-P-blicas-y-su-Actividad-6907fe51fe8c42c6be0abee7441a648a?pvs=21), Derecho patrimonial especial (https://www.notion.so/Derecho-patrimonial-especial-e8909fa36312467cb86788a6533c5555?pvs=21)",,,Planta 0,
27 (Errandonea),144,37,ERRANDONEA,"Sistema de Fuentes y Derechos Constitucionales* (https://www.notion.so/Sistema-de-Fuentes-y-Derechos-Constitucionales-908b921791f74719807e16ac4134cb56?pvs=21), Derecho Internacional Público* (https://www.notion.so/Derecho-Internacional-P-blico-a19e96f98c2148e38023e14b94e68c9c?pvs=21), Derecho Internacional Público* (https://www.notion.so/Derecho-Internacional-P-blico-1ea65004fdb54192a235184824bbae0b?pvs=21), Sistema de Fuentes y Derechos Constitucionales* (https://www.notion.so/Sistema-de-Fuentes-y-Derechos-Constitucionales-6405e8e9faa84bc5ad402646fa412235?pvs=21)",DBS,,,,,,"Derecho Internacional Público* (https://www.notion.so/Derecho-Internacional-P-blico-31521f44adc84f549f27eab5bef1b9ac?pvs=21), Derecho Internacional Público* (https://www.notion.so/Derecho-Internacional-P-blico-762858f73c2c451cb5310f00fb81726e?pvs=21), Sistema de Fuentes y Derechos Constitucionales (https://www.notion.so/Sistema-de-Fuentes-y-Derechos-Constitucionales-e50f3d306c654b2d92a4c94203b646bb?pvs=21)",,,Planta 0,
010 (Arrupe),52,26,ARRUPE,,CCSSHH,,,,,,,,,Planta 0,
40 (Altuna),70,35,ALTUNA (AULARIO),,DBS,,,,,,,,,Semisótano,
57 (Larramendi),81,40,LARRAMENDI,,Salud Educación y Deporte,,,,,,,,,Planta 0,https://360ss.deusto.es/G18I8tTlmS/33801662p&90.05h&80.57t
59 (Larramendi),56,28,LARRAMENDI,"Empresa: Contabilidad y estados Financieros (https://www.notion.so/Empresa-Contabilidad-y-estados-Financieros-ce2c686f0c4b4c17b40ea43ec705d622?pvs=21), Fundamentos Históricos del Sistema Jurídico II: Historia de las Instituciones (https://www.notion.so/Fundamentos-Hist-ricos-del-Sistema-Jur-dico-II-Historia-de-las-Instituciones-4944111b77814146bf0a489b001d684e?pvs=21), Las Administraciones Públicas y su Actividad (https://www.notion.so/Las-Administraciones-P-blicas-y-su-Actividad-483cc7a886924b2fb9884b1cd5e51212?pvs=21), Empresa: Contabilidad y estados Financieros (https://www.notion.so/Empresa-Contabilidad-y-estados-Financieros-596154b7b1d3492c815a6080e9e27a38?pvs=21), Fundamentos Históricos del Sistema Jurídico II: Historia de las Instituciones (https://www.notion.so/Fundamentos-Hist-ricos-del-Sistema-Jur-dico-II-Historia-de-las-Instituciones-136b32d229164b6c9809e719b7a8247c?pvs=21), Las Administraciones Públicas y su Actividad (https://www.notion.so/Las-Administraciones-P-blicas-y-su-Actividad-aba9a6fc3d1f431a862ba33574fdf356?pvs=21)",Salud Educación y Deporte,,,,,,"Fundamentos Históricos del Sistema Jurídico II: Historia de las Instituciones (https://www.notion.so/Fundamentos-Hist-ricos-del-Sistema-Jur-dico-II-Historia-de-las-Instituciones-0f827aa34b454e1599af2065b53cd195?pvs=21), Fundamentos Históricos del Sistema Jurídico II: Historia de las Instituciones (https://www.notion.so/Fundamentos-Hist-ricos-del-Sistema-Jur-dico-II-Historia-de-las-Instituciones-2c0e5c32781f43feb62256856be34346?pvs=21), Las Administraciones Públicas y su Actividad* (https://www.notion.so/Las-Administraciones-P-blicas-y-su-Actividad-644bbd5d8ac440508384d4a000808704?pvs=21), Las Administraciones Públicas y su Actividad* (https://www.notion.so/Las-Administraciones-P-blicas-y-su-Actividad-681bf723f43e442b983d7de2ec409b32?pvs=21), Empresa: Contabilidad y estados Financieros (https://www.notion.so/Empresa-Contabilidad-y-estados-Financieros-7bed5c15e75e4cd3a3099ffe2448fdf0?pvs=21), Empresa: Contabilidad y estados Financieros (https://www.notion.so/Empresa-Contabilidad-y-estados-Financieros-be0e4882afb24b7ca819bfdb9d02cf0a?pvs=21)",,,Planta 0,https://360ss.deusto.es/G18I8tTlmS/33801660p&123.75h&77.4t
106 (Arrupe),20,10,ARRUPE,,CCSSHH,,,,,,,,,Planta 1,
53 (Larramendi),56,28,LARRAMENDI,,Salud Educación y Deporte,,,,,,,,,Planta 0,https://360ss.deusto.es/G18I8tTlmS/33801655p&44.91h&73.52t
12 (Errandonea),17,8,ARANZADI,,DBS,,,,,,,,,Planta 1,
,78,44,ALTUNA (AULARIO),"Derecho tributario (https://www.notion.so/Derecho-tributario-5aff8a0a6f7541e2836bf8dfde7480f5?pvs=21), Delitos y sus penas (https://www.notion.so/Delitos-y-sus-penas-4e8364ce8a9f472b86c7c466f3db39b7?pvs=21)",DBS,,,,,,"Derecho tributario (https://www.notion.so/Derecho-tributario-2e3345e6cea646d19aa3de8480d93f84?pvs=21), Delitos y sus penas (https://www.notion.so/Delitos-y-sus-penas-54b69501a625402f9d33aee1b8af2d08?pvs=21)",,,Planta 1,
11 (Errandonea),52,21,ARANZADI,,DBS,,,,,,,,,Planta 1,
13 (Errandonea),23,12,ARANZADI,,DBS,,,,,,,,,Planta 1,
012 (Arrupe),48,24,ARRUPE,,CCSSHH,,,,,,,,,Planta 0,
30 (Errandonea),165,41,ERRANDONEA,,DBS,,,,,,,,,Planta 0,
52 (Larramendi),80,40,LARRAMENDI,,Salud Educación y Deporte,,,,,,,,,Planta 0,https://360ss.deusto.es/G18I8tTlmS/33801655p&36.72h&93.53t
003 (Arrupe),82,41,ARRUPE,,CCSSHH,,,,,,,,,Planta 0,
61 (Larramendi),43,21,LARRAMENDI,,Derecho,,,,,,,,,Planta 0,https://360ss.deusto.es/G18I8tTlmS/33801663p&112.68h&84.51t
112 (Arrupe),23,12,ARRUPE,,CCSSHH,,,,,,,,,Planta 1,
109 (Arrupe),12,6,ARRUPE,,CCSSHH,,,,,,,,,Planta 1,
114 (Arrupe),58,29,ARRUPE,,DBS,,,,,,,,,Planta 1,
49 (Altuna),46,22,ALTUNA (AULARIO),Familia y sucesiones (https://www.notion.so/Familia-y-sucesiones-670c044222034427998c6039b4ce8f50?pvs=21),Ingeniería,,,,,,Familia y sucesiones (https://www.notion.so/Familia-y-sucesiones-7979480697e141d99cb6fae1f95411b0?pvs=21),,,Planta 2,https://360ss.deusto.es/G18I8tTlmS/33802305p&21.43h&74.83t
001 (Arrupe),60,35,ARRUPE,,DBS,,,,,,,,,Planta 0,
31 (Errandonea),76,40,ERRANDONEA,,DBS,,,,,,,,,Planta 0,
108 (Arrupe),92,36,ARRUPE,,DBS,,,,,,,,,Planta 1,
014 (Arrupe),72,26,ARRUPE,,CCSSHH,,,,,,,,,Planta 0,
43 (Altuna),75,37,ALTUNA (AULARIO),,DBS,,,,,,,,,Planta 0,https://360ss.deusto.es/G18I8tTlmS/33802302p&43.37h&66.66t
51 (Larramendi),63,31,LARRAMENDI,,Salud Educación y Deporte,,,,,,,,,Planta 0,https://360ss.deusto.es/G18I8tTlmS/33801655p&36.72h&93.53t
103 (Arrupe),82,41,ARRUPE,,CCSSHH,,,,,,,,,Planta 0,
55 (Larramendi),56,28,LARRAMENDI,,Salud Educación y Deporte,Aula híbrida,,,,,,,,Planta 0,https://360ss.deusto.es/G18I8tTlmS/33801662p&195.65h&76.61t
B2 (Errandonea),20,10,ARANZADI,,DBS,,,,,,,,,Planta 0,
28 (Errandonea),144,37,ERRANDONEA,,DBS,,,,,,,,,Planta 0,
46 (Altuna),50,25,ALTUNA (AULARIO),Matemática Discreta (https://www.notion.so/Matem-tica-Discreta-14198cae3f004623b1a4b2eabd0eb657?pvs=21),DBS,Aula híbrida,,,,,Matemática Discreta (https://www.notion.so/Matem-tica-Discreta-5b40ee20c5ce4512ba2a18bba3c65aa8?pvs=21),,,Planta 2,https://360ss.deusto.es/G18I8tTlmS/33802307p&30.86h&77.94t
B3 (Errandonea),22,11,ARANZADI,,DBS,,,,,,,,,Planta 0,
56 (Larramendi),48,24,LARRAMENDI,,Salud Educación y Deporte,,,,,,,,,Planta 0,https://360ss.deusto.es/G18I8tTlmS/33801662p&342.01h&85.86t
005 (Arrupe),84,42,ARRUPE,,CCSSHH,,,,,,,,,Planta 0,
58 (Larramendi),90,45,LARRAMENDI,,Salud Educación y Deporte,,,,,,,,,Planta 0,https://360ss.deusto.es/G18I8tTlmS/33801660p&296.88h&87.17t
29 (Errandonea),48,37,ERRANDONEA,Derecho Jurisdiccional y procedimientos Civiles Declarativos (https://www.notion.so/Derecho-Jurisdiccional-y-procedimientos-Civiles-Declarativos-2b451e002eb142cfae6388b7efae9aef?pvs=21),DBS,,,,,,Derecho Jurisdiccional y Procedimientos Civiles Declarativos (https://www.notion.so/Derecho-Jurisdiccional-y-Procedimientos-Civiles-Declarativos-4a106de5e8674e48b4d2e4f37e4486ec?pvs=21),,,Planta 2,
008 (Arrupe),52,26,ARRUPE,,CCSSHH,Aula híbrida,,,,,,,,Planta 0,
110 (Arrupe),30,15,ARRUPE,,DBS,,,,,,,,,Planta 1,
41 (Altuna),87,44,ALTUNA (AULARIO),"Las Administraciones Públicas y su Actividad (https://www.notion.so/Las-Administraciones-P-blicas-y-su-Actividad-687e35f7840c44dc8cf260c3e888fd9b?pvs=21), Familia y sucesiones (https://www.notion.so/Familia-y-sucesiones-89538ed920b34d2680aac361687579f0?pvs=21), Derecho social y Contratos internacionales (https://www.notion.so/Derecho-social-y-Contratos-internacionales-dbddbb1c822c426199f2a55d6be540ba?pvs=21), Derecho tributario (https://www.notion.so/Derecho-tributario-231083269a414776a9ed79128244e4ff?pvs=21), Derecho del trabajo y de la Seguridad Social (https://www.notion.so/Derecho-del-trabajo-y-de-la-Seguridad-Social-34735cdf49ca46e3b333e317c6d4d1e2?pvs=21), Cálculo (https://www.notion.so/C-lculo-dd463fb2a102485aaa30889fd54b5eb1?pvs=21), Programación II / Programación Orientada a Objetos (https://www.notion.so/Programaci-n-II-Programaci-n-Orientada-a-Objetos-d9579a9cb4994555936f01496c7f513e?pvs=21), Cálculo (https://www.notion.so/C-lculo-6cd853eeac7e4124a24c143980ae3074?pvs=21)",DBS,,,,,,"Programación II / Programación Orientada a Objetos (https://www.notion.so/Programaci-n-II-Programaci-n-Orientada-a-Objetos-043a5348211247b5bac54b3a7dbb4fe0?pvs=21), Derecho tributario (https://www.notion.so/Derecho-tributario-27de428d9c9449f3ba61d2b0dcf64a03?pvs=21), Las Administraciones Públicas y su Actividad (https://www.notion.so/Las-Administraciones-P-blicas-y-su-Actividad-4a6db78ea6cc43e584b2157d196fc8b5?pvs=21), Derecho del trabajo y de la Seguridad Social (https://www.notion.so/Derecho-del-trabajo-y-de-la-Seguridad-Social-72c97f7da60543d6a24351f62bcb5696?pvs=21), Familia y sucesiones (https://www.notion.so/Familia-y-sucesiones-8a368a304de04a1fbd617b534ce9259a?pvs=21), Cálculo (https://www.notion.so/C-lculo-a65e7b492a72407ba72433e06f9aad9b?pvs=21), Derecho social y Contratos internacionales* (https://www.notion.so/Derecho-social-y-Contratos-internacionales-a9122e4f43694c85aeb15732f39d28ac?pvs=21), Cálculo (https://www.notion.so/C-lculo-c10746760382465fbd99746f85f8c263?pvs=21)",,,Planta 0,https://360ss.deusto.es/G18I8tTlmS/33801592p&87.88h&91.08t
50 (Larramendi),90,45,LARRAMENDI,,Salud Educación y Deporte,Aula híbrida,,,,,,,,Planta 0,https://360ss.deusto.es/G18I8tTlmS/33801655p&270.39h&72.44t
013 (Arrupe),53,27,ARRUPE,,CCSSHH,,,,,,,,,Planta 0,
006 (Arrupe),64,32,ARRUPE,,CCSSHH,,,,,,,,,Planta 0,
007 (Arrupe),64,32,ARRUPE,,CCSSHH,,,,,,,,,Planta 0,
54 (Larramendi),63,31,LARRAMENDI,,Salud Educación y Deporte,,,,,,,,,Planta 0,https://360ss.deusto.es/G18I8tTlmS/33801662p&342.01h&85.86t
29 (Errandonea),144,41,ERRANDONEA,,DBS,,,,,,,,,Planta 0,
104 (Arrupe),40,18,ARRUPE,,DBS,,,,,,,,,Planta 1,
45 (Altuna),68,34,ALTUNA (AULARIO),"Derecho patrimonial especial (https://www.notion.so/Derecho-patrimonial-especial-fdfc9ba2f9ba4ea19e2f14bff116ea32?pvs=21), Derecho social y Contratos internacionales (https://www.notion.so/Derecho-social-y-Contratos-internacionales-c0535129fc9e4321ad9209fee31e227d?pvs=21), Derecho civil y autonómico vasco (https://www.notion.so/Derecho-civil-y-auton-mico-vasco-96189f18ebf246c18666071b3143be56?pvs=21), Derechos Reales (https://www.notion.so/Derechos-Reales-7cb24e67a39e4f2aae31473c4020c5f4?pvs=21), Programación II / Programación Orientada a Objetos (https://www.notion.so/Programaci-n-II-Programaci-n-Orientada-a-Objetos-653af8c9297c43ca9e8221fb01a424ef?pvs=21)",DBS,,,,,,"Derecho social y Contratos internacionales* (https://www.notion.so/Derecho-social-y-Contratos-internacionales-1807a220f11b4585868d9049e1997507?pvs=21), Derecho patrimonial especial (https://www.notion.so/Derecho-patrimonial-especial-42868840c5c54ae1a52f7cbac727a597?pvs=21), Derechos Reales (https://www.notion.so/Derechos-Reales-753a5f133ccf4125b48ede79181d8e4d?pvs=21), Derecho civil y autonómico vasco (https://www.notion.so/Derecho-civil-y-auton-mico-vasco-d9539931e4fb48d0a490132c3000e3e3?pvs=21), Programación II / Programación Orientada a Objetos (https://www.notion.so/Programaci-n-II-Programaci-n-Orientada-a-Objetos-ed3993e5ae06419bacdb4c242b275307?pvs=21)",,,Planta 1,https://360ss.deusto.es/G18I8tTlmS/33802299p&129.99h&65.77t
B1 (Errandonea),49,25,ARANZADI,,DBS,,,,,,,,,Planta 0,
48 (Altuna),47,24,ALTUNA (AULARIO),,Ingeniería,,,,,,,,,Planta 2,https://360ss.deusto.es/G18I8tTlmS/33802305p&21.43h&74.83t
Despacho / Bulegoa,,,,,,,,,,,,,,,
Sala ordenadores / ordenagailu gela,,,MATEO RICCI,,Booking,,,,,,,,,Planta -1,
62 (Larramendi),53,26,LARRAMENDI,,Derecho,,,,,,,,,Planta 0,https://360ss.deusto.es/G18I8tTlmS/33801663p&298.45h&96.94t
60 (Larramendi),56,28,LARRAMENDI,,Derecho,,,,,,,,,Planta 0,https://360ss.deusto.es/G18I8tTlmS/33801663p&298.45h&96.94t
33,,,,,,,,,,,,,,,
Sala 221 (Pl.1 Antxieta),,,,,,,,,,,,,,,
Matteo Ricci,,,,,,,,,,,,,,,
41-42,,,,,,,,,,,,,,,
43-44 (Altuna),,,,,,,,,,,,,,,
Plato TV,,,ALTUNA (AULARIO),,CCSSHH,,,,,,,,,Planta -2,
Aula digital / Gela digitala,,,MATEO RICCI,,Booking,,,,,,,,,Planta 0,
227,,,,,,,,,,,,,,,
Sala 227 gela,,,ARRUPE,,Booking,,,,,,,,,Planta 2,
buelg,,,,,,,,,,,,,,,
Online,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,
44 (Altuna),,,,,,,,,,,,,,,
41 - 42 (Altuna),,,,,,,,,,,,,,,
29 - 30 (Errandonea),,,,,,,,,,,,,,,
27 - 28 (Errandonea),,,,,,,,,,,,,,,
30 - 31 (Errandonea),,,,,,,,,,,,,,,
002 (Arrupe),82,41,ARRUPE,,CCSSHH,,,,,,,,,Planta 0,